internal_sku,platform_sku,description,category
INT-E12A05,79344,Joker Combo UBER RARE,Amps>Combo
INT-316231,79462,ES335,Guitars>Semi-hollow body
INT-06389F,79463,ES345,Guitars>Semi-hollow body
INT-ABCB3C,79464,Les Paul Custom,Guitars>Electric solid body
INT-C11BA5,79827,Vox Phantom Copy,Guitars>Electric solid body
INT-A09A65,79828,J160-E,Guitars>Flat top
INT-E984B5,79829,Les Paul Custom,Guitars>Electric solid body
INT-ED01EA,79830,Country Gentleman,Guitars>Semi-hollow body
INT-518BF5,79831,D25 Albino,Guitars>Flat top
INT-66559E,79833,Barnel Kessel Custom,Guitars>Semi-hollow body
INT-33699D,79834,SG Standard,Guitars>Electric solid body
INT-2C2406,79835,Santana II,Guitars>Electric solid body
INT-BCC2B3,79836,Steelcaster Deluxe,Guitars>Electric solid body
INT-F4BA93,79837,6120 Nashville,Guitars>Semi-hollow body
INT-C5D970,79838,Custom Telecaster with Bigsby,Guitars>Electric solid body
INT-9AD396,79839,White Penguin,Guitars>Semi-hollow body
INT-C5CFE2,79840,700V,Guitars>Electric solid body
INT-B781A2,79841,Phantom 6,Guitars>Electric solid body
INT-2DA552,79842,Jupiter,Guitars>Electric solid body
INT-B62ABD,79843,Phantom 12 Museum Condition,Guitars>Electric solid body
INT-58FED1,79844,"Teardrop, Brian Jones, Rolling Stones",Guitars>Electric solid body
INT-7BE112,79847,Zemaitis Metal Top Deluxe,Guitars>Electric solid body
INT-8A4514,79848,Les Paul Custom ,Guitars>Electric solid body
INT-FB2E52,79849,360 Tuxedo Model,Guitars>Semi-hollow body
INT-F95379,79850,J200 Parlour Ltd Edition,Guitars>Flat top
INT-625960,79851,ES-295,Guitars>Semi-hollow body
INT-3FE98B,79853,Trini Lopez,Guitars>Semi-hollow body
INT-F2C6E5,80174,D18,Guitars>Flat top
INT-665AF4,80177,Keith Moon Spirit of Lilly Drum Kit THE WHO Ltd Edition,Drums>Shell Kits
INT-A783F4,81281,360,Guitars>Semi-hollow body
INT-9140E9,81282,Jazzmaster,Guitars>Electric solid body
INT-6422E7,81283,Stratocaster,Guitars>Electric solid body
INT-D63916,81286,6 String Acoustic,Guitars>Flat top
INT-A56C65,81287,J45,Guitars>Flat top
INT-3EB784,81288,D28-12,Guitars>12 string>Acoustic
INT-C1AE35,81290,D28,Guitars>Flat top
INT-30556F,81291,Telecaster,Guitars>Electric solid body
INT-B74C28,81294,Stratocaster,Guitars>Electric solid body
INT-D25D30,81295,Custom Metal Top,Guitars>Electric solid body
INT-E50FF4,81297,Professional Guitar & Amp Set,Guitars>Electric solid body
INT-E251AF,81299,Telecaster,Guitars>Electric solid body
INT-9157D2,81301,D18,Guitars>Flat top
INT-E988F4,81319,Les Paul Standard,Guitars>Electric solid body
INT-732031,81398,JMP 50 Ex Michael Schenker UFO SCORPIONS MSG,Amps>Heads
INT-DC7A2D,81399,SG Les Paul Lil Red Ex Billy Gibbons ZZ Top,Guitars>Electric solid body
INT-02C62D,81400,Les Paul custom Black Beauty MUSEUM CONDITION,Guitars>Electric solid body
INT-213CB4,81465,4 Piece drum kit owned by Ricke Wakeman of YES purchased from Bill Bruford,Drums>Shell Kits
INT-F22C86,81466,Keyboard Mixer Owned and Used by Rick Wakeman of YES 1970 Black,Effects>Other
INT-8BD8D7,81467,7P,Pianos>Synth & Keyboard
INT-9FC43C,81468, MiniMoog Style Synth Owned and Used by Rick Wakeman of YES ,Pianos>Synth & Keyboard
INT-B5F156,81470,Mirage Synth owned and used by Rick Wakeman of YES ,Pianos>Synth & Keyboard
INT-A67043,81471,EMT-1 & EMT-10Sound Expander Modules owned and used by Rick Wakeman of YES ,Effects>Multieffect
INT-B0FE23,81472,DX5 owned and used by Rick Wakeman of YES,Pianos>Synth & Keyboard
INT-782F98,81473,Prophet 5 owned and used by Rick Wakeman of YES,Pianos>Synth & Keyboard
INT-D94EC7,81477,Prophet 5 Remote owned and used by Rick Wakeman of YES ,Pianos>Synth & Keyboard
INT-F2957C,81478,Vibra Artist,Guitars>Electric solid body
INT-6D02C4,81479,Stratocaster Hardtail,Guitars>Electric solid body
INT-27F0BD,81481,Bi Phase,Effects>Phaser
INT-398A0F,81482,Resley Machine,Effects>Chorus
INT-658333,81807,25th Anniversary Stratocaster,Guitars>Electric solid body
INT-9D67B0,81808,Stratocaster,Guitars>Electric solid body
INT-39738D,81809,Stratocaster Hardtail,Guitars>Electric solid body
INT-BE7B5F,81812,Redondo Acoustic,Guitars>Flat top
INT-7ED548,81813,Model 700 Programmer Drum Machine owned and used by Rick Wakeman of YES,Pianos>Synth & Keyboard
INT-88FC09,81814,Rhythm 77 TR-77 Drum Machine owned and used by Rick Wakeman of YES,Pianos>Synth & Keyboard
INT-A8AFEB,81815,XV88 owned and used by Rick Wakeman of YES,Pianos>Synth & Keyboard
INT-343A40,81816,Stage Echo owned and used by Rick Wakeman of YES,Effects>Delay & Echo
INT-642544,81817,DSS1 Synth owned and used by Rick Wakeman of YES,Pianos>Synth & Keyboard
INT-048F7B,81818,DW8000,Pianos>Synth & Keyboard
INT-4ABC39,81819,DS-8 owned and used by Rick Wakeman of YES ,Pianos>Synth & Keyboard
INT-1D116A,81820,EPS-1 Synth owned and used by Rick Wakeman of YES ,Pianos>Synth & Keyboard
INT-5BD335,81821,CX-3,Pianos>Synth & Keyboard
INT-312134,81822,RK100 Keytar Synth owned and used by Rick Wakeman of YES ,Pianos>Synth & Keyboard
INT-337BFA,81826,OM-45 Owned and Used by Steve Howe YES ASIA,Guitars>Flat top
INT-0AC1B5,81827,1962 Reissue Stratocaster CIJ ,Guitars>Electric solid body
INT-79671C,81832,Prophecy,Pianos>Synth & Keyboard
INT-83C245,81833,Sigma Synth Sigma Synth owned and used by Rick Wakeman of YES ,Pianos>Synth & Keyboard
INT-66B90B,81834,Lambada Synth owned and used by Rick Wakeman of YES ,Pianos>Synth & Keyboard
INT-44F613,81858,Mono/Poly MP4 Synth owned and used by Rick Wakeman of YES,Pianos>Synth & Keyboard
INT-C83D99,81859,VC-10 Vocoder owned and used by Rick Wakeman of YES ,Pianos>Synth & Keyboard
INT-A22736,81860,Concerto 1000 Electric Piano owned and used by Rick Wakeman of YES,Pianos>Grand Piano
INT-7EBB92,81861,Computer Keyboard owned and used by Rick Wakeman of YES ,Pianos>Synth & Keyboard
INT-6E44AC,81863,Taurus II Bass Pedals owned and used by Rick Wakeman of YES,Pianos>Synth & Keyboard
INT-311937,81864,PolyMoog 1970 Black owned & used by Rick Wakeman of YES,Pianos>Synth & Keyboard
INT-EF7C14,81865,MiniMoog Model D owned & used by Rick Wakeman of YES ,Pianos>Synth & Keyboard
INT-E47B18,81866,XB-2 owned & used by Rick Wakeman of YES,Pianos>Synth & Keyboard
INT-5C4952,81867,L122 Organ owned & used by Rick Wakeman of YES ,Pianos>Synth & Keyboard
INT-F8B989,81868,C3 Organ owned & used by Rick Wakeman of YES ,Pianos>Synth & Keyboard
INT-FC815E,82084,JTM45 Super 100 Head,Amps>Heads
INT-A1DD53,82665,SG12A,Guitars>12 string>Electric
INT-8E2019,82667,JMP Stack ex Bernie Marsden Whitesnake,Amps>Head + Cab
INT-645BF5,82668,DR201 200W ex Ronnie Lane Small Faces,Amps>Heads
INT-5ED0A2,82670,J50,Guitars>Flat top
INT-D584B1,82672,Vibrolux,Amps>Combo
INT-CE5398,82676,200 Japanese,Guitars>Electric solid body
INT-7927B1,82677,D35,Guitars>Flat top
INT-56B10B,82678,Byrdland,Guitars>Archtop>Electric
INT-1C339D,82679,ES125,Guitars>Archtop>Electric
INT-3C44D2,82680,25th Anniversary Stratocaster,Guitars>Electric solid body
INT-A987B0,82682,UL730 Head THE BEATLES LED ZEPPELIN,Amps>Heads
INT-3C55D8,82683,UL760 Head THE BEATLES LED ZEPPELIN,Amps>Heads
INT-D7B80A,82684,JTM45 Super 100 Head,Amps>Heads
INT-F58ACF,83141,Aluminium guitar ex Ace Frehley KISS,Guitars>Electric solid body
INT-CE3E4D,83143,Prototype Precision Bass ex Dusty Hill ZZ TOP,Basses>4 string
INT-F871F8,83145,Aviator ex Eddie Ojeda TWISTED SISTER,Guitars>Electric solid body
INT-3E7E55,83146,Tony Iommi Custom Shop SG Left Handed BLACK SABBATH,Guitars>Electric solid body
INT-7C7EDB,83171,MPC Prototype Guitar ex Leslie West MOUNTAIN,Guitars>Electric solid body
INT-231481,83174,Modular Synthesizer SUPER RARE,Pianos>Synth & Keyboard
INT-66671A,83185,Stratocaster ex YNGWIE MALMSTEEN,Guitars>Electric solid body
INT-D8C857,83264,ES336,Guitars>Semi-hollow body
INT-32306F,83265,ES339 Black Beauty Model,Guitars>Semi-hollow body
INT-BA6DC3,83266,James Burton Signatur Telecaster,Guitars>Electric solid body
INT-6CB799,83267,AC30 TOP BOOST Edge Spec U2,Amps>Combo
INT-A443D8,83268,AC30 Brown Grill,Amps>Combo
INT-F1F411,83270,LG2 3/4 Acoustic,Guitars>Flat top
INT-202591,83271,CF100 Acoustic,Guitars>Flat top
INT-3453C9,83272,00-17 Mahogany,Guitars>Flat top
INT-C878ED,83408,Showman Speaker Cabinet Rare 1x15 Speaker,Amps>Cabinets
INT-EE72B2,83409,AC100 Rig ex Alan Rogan Collection,Amps>Head + Cab
INT-668C23,83410,D28 Brazilian Rosewood,Guitars>Flat top
INT-1FB3CA,83411,AC15 Casing,Amps>Combo
INT-A0DD8F,83413,Original Tweed Case for Stratocaster or Telecaster,Guitars>Miscellaneous
INT-034A17,83414,"Les Paul Case . Brown , Pink Lined , 4 Latch ",Guitars>Miscellaneous
INT-64EB79,83417,Stratocaster,Guitars>Electric solid body
INT-244844,83420,Tweed Twin ex Alan Rogan Collection,Amps>Combo
INT-9DD4A8,83422,Bandmaster Reverb Head ex Alan Rogan Collection ex THE WHO,Amps>Heads
INT-97E3DA,83426,Les Paul Custom Black Beauty COLLECTOR GRADE,Guitars>Electric solid body
INT-262C0C,83428,Tweed Champ ex Alan Rogan Collection,Amps>Combo
INT-C475F6,83429,Superlead 100 Stack ex STEVE JONES THE SEX PISTOL,Amps>Head + Cab
INT-C1929F,83430,2x12 extension cabinet RARE ex Alan Rogan Collection,Amps>Cabinets
INT-BA4C1F,83431,Aluminium Guitar ex THE CARS Serial No 27,Guitars>Electric solid body
INT-76BA55,83433,ES335 Dot Collector Condition,Guitars>Semi-hollow body
INT-8551E5,83544,D28,Guitars>Flat top
INT-6B0C2F,83545,Metal Top,Guitars>Electric solid body
INT-FC17F8,83547,J160E,Guitars>Flat top
INT-531EC5,83549,"JTM100 , Super Lead , Eric Clapton , Jimmy Page Spec ",Amps>Heads
INT-5B5082,83824,Jazzmaster,Guitars>Electric solid body
INT-1C8BAC,83826,Starfire III,Guitars>Semi-hollow body
INT-1390FC,83827,J50,Guitars>Flat top
INT-4B71B5,83829,Collectors Series,Guitars>Flat top
INT-246712,83830,575 Left Handed,Guitars>Archtop>Electric
INT-5E1428,83831,LG2,Guitars>Flat top
INT-0E5169,83833,Verythin Bass,Basses>Semi-hollowbody
INT-9CEDC4,83834,"Committee , Museum Grade , The Worlds Finest",Guitars>Archtop>Acoustic
INT-009F2E,83836,Supa Tone Bender,Effects>Fuzz/Distortion
INT-C2D907,83837,OR120 Graphic Head,Amps>Heads
INT-47943C,83838,"Orange OR, Matamp, Head Rare ",Amps>Heads
INT-092309,83839,"Supergroup 100 Head, Tony Iommi, Black Sabbath",Amps>Heads
INT-B3A4B2,83840,"Vamp MKI Head, Mac Bolan T-REX",Amps>Heads
INT-A88B68,84527,System IIIC,Pianos>Synth & Keyboard
INT-631B5F,84529,Les Paul Standard Collector Grade,Guitars>Electric solid body
INT-5D6561,84530,Superlead 100 Head ex Steve Jones The Sex Pistols,Amps>Heads
INT-3AF976,84794,"Voltage Plate for JTM, JMP Plexi and Aluminium panel amplifiers",Amps>Heads
INT-641D9C,84997,CS80 SUPER SYNTHESIZER,Pianos>Synth & Keyboard
INT-237B42,85014,Mustang,Guitars>Electric solid body
INT-D20B1B,85015,57 Reissue Stratocaster FACTORY FRESH!,Guitars>Electric solid body
INT-56A06E,85016,Eric Clapton Stratocaster,Guitars>Electric solid body
INT-2ADAAA,85017,Custom Shop Firebird III,Guitars>Electric solid body
INT-F505C7,85730,59 Reissue Les Paul Standard,Guitars>Electric solid body
INT-544E20,85731,Custom Shop Masterbuilt 59 Stratocaster Dale Wilson,Guitars>Electric solid body
INT-C3AC53,85732,F25 Acoustic,Guitars>Flat top
INT-608005,85733,Texan,Guitars>Flat top
INT-196E4C,85735,000-28EC Eric Clapton Model ,Guitars>Flat top
INT-98BD48,85736,Mustang,Guitars>Electric solid body
INT-2C779B,85737,Mustang,Guitars>Electric solid body
INT-D825EC,85738,Firebird I,Guitars>Electric solid body
INT-B20BD4,85786,68 Reissue Les Paul Custom ex Guns 'n' Roses,Guitars>Electric solid body
INT-9C5B5F,85794,Les Paul Special Double Cut ex GUNS 'N' ROSES,Guitars>Electric solid body
INT-3AE763,85796,ES325 Semi Acoustic ex GUNS 'N' ROSES,Guitars>Semi-hollow body
INT-2A0F90,85799,59 Reissue Les Paul stand ex GUNS 'N' ROSES,Guitars>Electric solid body
INT-5886BF,85991,Telecaster Deluxe,Guitars>Electric solid body
INT-30968A,85992,Jazz Bass,Basses>4 string
INT-FDBFC7,85993,Hi fly Nirvana Kurt Cobain,Guitars>Electric solid body
INT-8446B9,85994,Stratocaster,Guitars>Electric solid body
INT-C7320A,86014,Old Boy Tony Iommi Signature Model,Guitars>Electric solid body
INT-E20633,86016,Les Paul Standard,Guitars>Electric solid body
INT-54E8A0,86017,OM42,Guitars>Flat top
INT-03F796,86018,Trilam,Guitars>Semi-hollow body
INT-F989A3,86019,JMP Plexi 50 Head,Amps>Heads
INT-714059,86112,Stratocaster RARE CUSTOM COLOUR,Guitars>Electric solid body
INT-64A803,86114,Stratocaster British Dealer Finish,Guitars>Electric solid body
INT-65676A,86438,ES335 EX ROY ORBISON OH PRETTY WOMAN,Guitars>Semi-hollow body
INT-D849B5,86582,Les Paul Standard,Guitars>Electric solid body
INT-B965AD,87161,HD28VS,Guitars>Flat top
INT-F085E4,87462,Eric Clapton 000-28 ECB Ltd Edition,Guitars>Flat top
INT-F05053,87622,Custom Shop Chet Atkins CEC Model,Guitars>Classical
INT-9D08E0,87698,Billy Gibbons Pearly Gates Les Paul Artist Proof,Guitars>Electric solid body
INT-B08513,88664,20W Plexi Head and Pinstripe Cabinets,Amps>Head + Cab
INT-34C98B,89045,Custom Shop 57 Relic Stratocaster,Guitars>Electric solid body
INT-D00F17,89046,Custom Shop Jeff Beck Tribute Esquire,Guitars>Electric solid body
INT-B60105,89048,40th Anniversary Custom Shop Telecaster,Guitars>Electric solid body
INT-05DF45,89049,Custom Shop Chrome Stratocaster,Guitars>Electric solid body
INT-637484,89052,35th Anniversary Stratocaster,Guitars>Electric solid body
INT-BE393F,89053,Merle Haggard Signature Telecaster,Guitars>Electric solid body
INT-76021E,89054,381 John Kay Steppenwolf Signature Model,Guitars>Semi-hollow body
INT-9B3411,89055,Custom Shop Thinline Stratocaster,Guitars>Semi-hollow body
INT-C6532D,89056,Custom Shop 1954 Masterbuilt Stratocaster,Guitars>Electric solid body
INT-919EB2,89058,IC100 Combo ex Wilko Johnson Dr Feelgood,Amps>Combo
INT-26C9CE,89063,Custom Shop 65 Master Design Stratocaster,Guitars>Electric solid body
INT-46C657,89193,AC30 ex Status Quo ROCKIN ALL OVER THE WORLD,Amps>Combo
INT-270186,89546,Melody Maker Pinstripe ex Billy Gibbons ZZ TOP,Guitars>Electric solid body
INT-5D7865,89572,Marvin model EX HANK MARVIN - THE SHADOWS 1964 White,Guitars>Electric solid body
INT-C22160,89573,Marvin model Ex BRUCE WELCH - THE SHADOWS 1964 White,Guitars>Electric solid body
INT-77FD13,89574,Stratocaster Hardtail,Guitars>Electric solid body
INT-7EDBAB,89575,Masterbuilt John matos Crash Stratocaster 33/50,Guitars>Electric solid body
INT-77FCC1,89576,Les Paul Standard from the Alan Rogan Collection ex Celebrity Owner 1958 Sunburst ,Guitars>Electric solid body
INT-345428,89580,Masterbuilt John English Stratocaster,Guitars>Electric solid body
INT-DEA770,89581,Masterbuilt Chris Flemming Bass VI,Basses>6 string
INT-6E9A89,89582,Custom Shop Jerry Donaghue Telecaster,Guitars>Electric solid body
INT-C4E721,89875,ES347,Guitars>Semi-hollow body
INT-496135,89876,Dove,Guitars>Flat top
INT-D525F7,89877,La Tosca Dealer Exclusive Model,Guitars>Electric solid body
INT-F353E0,89879,AC50 Small Box Head,Amps>Heads
INT-A154DD,91357,L5S Ronnie Wood Rolling Stone Prototype,Guitars>Semi-hollow body
INT-EC6FF9,91360,McCarty 10 Top THE BEST,Guitars>Electric solid body
INT-0E7406,91361,Les Paul Recording,Guitars>Electric solid body
INT-613F68,91362,Les Paul Custom,Guitars>Electric solid body
INT-E938DE,91364,Les Paul Classic,Guitars>Electric solid body
INT-1D10E6,91366,Model H 000  Ex Gary Moore,Guitars>Flat top
INT-8B78EC,91367,Razorwood,Guitars>Electric solid body
INT-1660C1,91379,Telecaster,Guitars>Electric solid body
INT-B07255,91383,GB66,Guitars>Semi-hollow body
INT-F8CD5C,91384,Italian Fetish Model,Guitars>Electric solid body
INT-479C1B,91385,Hummingbird,Guitars>Flat top
INT-DB01B1,91386,D28,Guitars>Flat top
INT-1819CF,91387,457 2 Pickup Model,Guitars>Archtop>Electric
INT-EC6260,91388,Power Jet,Guitars>Electric solid body
INT-85608B,91389,BB Model FETISH GUITAR,Guitars>Semi-hollow body
INT-C5277C,91390,"Star Bass Bill Wyman, The Rolling Stones",Basses>Semi-hollowbody
INT-993273,91391,Custom Acoustic,Guitars>Flat top
INT-1D7FF4,91392,JLL Jen Larrivee Model,Guitars>Flat top
INT-6CC1A7,91393,L6 Copy,Guitars>Electric solid body
INT-4B9E52,91394,Duo Jet,Guitars>Semi-hollow body
INT-6F3D6B,91396,Corvus,Guitars>Electric solid body
INT-7FE12E,91397,Verythin,Guitars>Semi-hollow body
INT-179CF9,91398,S23,Guitars>Flat top
INT-209D9C,91830,Custom Acoustic ex George Harrison ' Thames Valley Special' ,Guitars>Flat top
INT-DCCD3D,91831,Stratocaster THE WORLDS FINEST ORIGINAL OWNER,Guitars>Electric solid body
INT-63F5BE,91834,Les Paul SG Junior COLLECTOR GRADE,Guitars>Electric solid body
INT-C7EAF9,91835,SG Special,Guitars>Electric solid body
INT-2DFD22,91836,Capri,Guitars>Semi-hollow body
INT-4A8498,91837,365WB,Guitars>Semi-hollow body
INT-314C4E,91838,Stratocaster,Guitars>Electric solid body
INT-1ED574,91839,Les Paul SG Custom Signed by Les Paul Himself,Guitars>Electric solid body
INT-4A33BE,91840,Custom Bass ex Ronnie Lane The Faces,Basses>4 string
INT-C2890C,91841,Custom Shop John Page 58 Stratocaster,Guitars>Electric solid body
INT-D8C3AF,91842,Les Paul Custom,Guitars>Electric solid body
INT-DC4A9E,91843,McCarty 10 Top,Guitars>Electric solid body
INT-2736AE,91845,Les Paul Classic,Guitars>Electric solid body
INT-BB1F2B,92285,4x12 Straight Front Cab ex Gary Moore,Amps>Cabinets
INT-3B6EF1,92291,SG Standard one owner guitar,Guitars>Electric solid body
INT-043FAA,92292,Telecaster with factory Fit Bigsby,Guitars>Electric solid body
INT-B60C9C,92293,Varispeed Copicat ex Gary Moore SUPER RARE,Effects>Delay & Echo
INT-ADED2C,92294,85th Anniversary Combo ex Gary Moore 2008 Black,Amps>Combo
INT-F42C6A,92776,Firebird V The World's Finest,Guitars>Electric solid body
INT-D0D566,92780,High Powered Twin,Amps>Combo
INT-CCF1C6,92781,Non-Reverse Firebird V  Museum Grade,Guitars>Electric solid body
INT-DA8035,92782,Les Paul Custom Black Beauty,Guitars>Electric solid body
INT-32322C,92783,Firebird I original (Clapton),Guitars>Electric solid body
INT-11027B,92784,Eric Clapton Stratocaster Owned and used by Eric,Basses>6 string
INT-0A7E53,92785,1998 Rose Morris Model (Pete Townshend),Guitars>Semi-hollow body
INT-D8EDC9,93459,Custom 24 ,Guitars>Electric solid body
INT-97F345,93462,Superlead 100 Head ex Gary Moore with Custom Mods,Amps>Heads
INT-94B9CF,93463,Bassman,Amps>Combo
INT-8BB5DE,93466,OM-42,Guitars>Flat top
INT-02184C,93469,Firebird VII,Guitars>Electric solid body
INT-6AF82B,93471,SG Special,Guitars>Electric solid body
INT-50389A,94219,Collectors Choice 'Gruhn Burst' Vic Da Pra Les Paul Standard ,Guitars>Electric solid body
INT-97BE43,94223,Tremonti,Guitars>Electric solid body
INT-13F44B,94226,Broadcaster ex Guns 'n' Roses,Guitars>Semi-hollow body
INT-ADD463,94227,000-18,Guitars>Flat top
INT-4CD6DB,94228,AC30 with rare factory Stand,Amps>Combo
INT-38A405,94448,Custom Shop Aloha Stratocaster No 1 Made for Namm Show,Guitars>Electric solid body
INT-D038F1,94452,D42 Ltd Edition Cambodian Rosewood 10/19 Worldwide,Guitars>Flat top
INT-FFD927,94453,"D28-GE Golden Era Brazilian Rosewood , New , Unplayed",Guitars>Flat top
INT-B6EA29,94498,Les Paul Standard Goldtop Rare First Year Small Headtstock,Guitars>Electric solid body
INT-E7D503,95110,Les Paul Custom,Guitars>Electric solid body
INT-9A84DA,95111,Fly Deluxe,Guitars>Electric solid body
INT-C13468,95116,Voke Model (Flying V),Guitars>Electric solid body
INT-D19529,95120,56 Reissue Les Paul,Guitars>Electric solid body
INT-AD9BE6,95121,1958 Reissue Les Paul Standard VOS,Guitars>Electric solid body
INT-49BC35,95132,Stratocaster,Guitars>Electric solid body
INT-71EBA8,95134,D28 Custom Shop 12 Model,Guitars>Flat top
INT-7BE6A3,95662,Les Paul Deluxe,Guitars>Electric solid body
INT-8596F0,95664,000-18,Guitars>Flat top
INT-2313D7,95727,Stratocaster,Guitars>Electric solid body
INT-248C9F,95729,Kitty Hawk Overdrive Special,Amps>Head + Cab
INT-D695EC,95730,Committee,Guitars>Archtop>Electric
INT-B95721,95733,Coronado 1 Special,Guitars>Semi-hollow body
INT-2AC926,95851,4x12 Pinstripe Cab for Plexi amps,Amps>Cabinets
INT-F4B906,96116,F30,Guitars>Flat top
INT-1FDB45,96438,Stratocaster,Guitars>Electric solid body
INT-77769A,96440,Melody Maker Single Cut,Guitars>Electric solid body
INT-133A52,96442,Olympic Melody Maker,Guitars>Electric solid body
INT-A46F59,96959,Custom Shop Relic Nocaster,Guitars>Electric solid body
INT-93EEA2,96960,Custom Shop Esquire,Guitars>Electric solid body
INT-59B92D,97451,LS-10 Owned and used by John Squire THE STONE ROSES,Guitars>Flat top
INT-7BB302,98075,"Duo Jet , George Harrison , Limited Edition 2000s - Black",Guitars>Chambered solid body
INT-5E4A9E,98078,Country Gentleman 62 Reissue 2000s - walnut,Guitars>Semi-hollow body
INT-038B2D,98910,Custom Shop David Gilmour THE BLACK STRAT Relic ,Guitars>Electric solid body
INT-C00023,98911,Medallion Flying V ex Scorpions Matthias Jabs ,Guitars>Electric solid body
INT-A6DA82,98913,Broadway,Guitars>Archtop>Acoustic
INT-0C9D04,98914,Antigua Stratocaster STUART ADAMSON BIG COUNTRY,Guitars>Electric solid body
INT-BDD03E,98917,Streamer Jazzman 5 ,Basses>5 string
INT-0D9785,98919,BB2NE Nathan East Signature 5 String Bass,Basses>5 string
INT-750559,98921,Streamer Jazzman 5 Fretless,Basses>Fretless
INT-0A6D81,98922,John Patitucci Signature 6 String Bass,Basses>6 string
INT-4EA938,98923,Euro 5LX 5 String Bass ,Basses>5 string
INT-540702,98925,Firebird VII,Guitars>Electric solid body
INT-17E573,98926,"TG0 - Ex Rolling Stones , Ron Wood",Guitars>Tenor
INT-DAE1EF,98928,Les Paul Standard,Guitars>Electric solid body
INT-8CD675,98930,Style 0,Guitars>Resonator
INT-A01CD4,99261,381 12 String,Guitars>12 string>Electric
INT-730390,99264,D40,Guitars>Flat top
INT-0A60AA,99267,ES175D,Guitars>Semi-hollow body
INT-91697F,99270,G6120 Nashville,Guitars>Semi-hollow body
INT-BE9D82,99322,King of Fuzz tone Bender,Effects>Fuzz
INT-C7C051,99635,Round Hole Gypsy Jazz Acoustic,Guitars>Gypsy Jazz
INT-BAB345,99637,"G12 H - 30 Watt , Pre Rola Greenback 1969 , pair , set",Amps>Cabinets
INT-3DD297,99638,Stratocaster Hardtail,Guitars>Electric solid body
INT-441842,99642,SC800 Ex Big Country ,Guitars>Electric solid body
INT-3EF64B,99644,SG 70 Ex Big Country ,Guitars>Electric solid body
INT-FF982F,99645,FR212,Amps>Cabinets
INT-51E901,99646,Custom Shop 58 Stratocaster John Page Era,Guitars>Electric solid body
INT-0F33F0,99793,Imperial MKII,Amps>Combo
INT-0439AC,99795,ZZ Top 50th Anniversary Super Fifity Nine M80 Head and Cab,Amps>Head + Cab
INT-27A66B,99798,oseland 45W Amplifier with 1x12 Extension Cab,Amps>Combo
INT-1ECF31,99800,President with Rare Round Control Panel,Guitars>Archtop>Electric
INT-8BBB05,99802,KT66 Valves/Tubes for Marshall JTM45 NOS,Amps>Heads
INT-9FA829,99940,Telecaster,Guitars>Electric solid body
INT-D1B4B9,100689,Les Paul,Guitars>Electric solid body
INT-EBC648,100691,Wiltshire,Guitars>Electric solid body
INT-35086B,100693,45 Plexi Head,Amps>Heads
INT-908ADA,100696,Les Paul Standard,Guitars>Electric solid body
INT-374DB2,100700,Telecaster with Bigsby,Guitars>Electric solid body
INT-CF71C1,100951,Professional MKII Tone Bender,Effects>Fuzz
INT-971297,101269,Stratocaster,Guitars>Electric solid body
INT-ECD14A,101276,30 (AC30),Amps>Combo
INT-6E4A5F,101278,15 (AC15) Combo,Amps>Combo
INT-AAD914,101306,Musicmaster,Guitars>Electric solid body
INT-2C24C8,101431,JTM45 Head Gold Block Logo,Amps>Heads
INT-6CFD0D,101432,Custom Shop Seven from Heaven Stratocaster,Guitars>Electric solid body
INT-C7CCFB,101734,Blackguard Telecaster ex John Squire THE STONE ROSES & SEAHORSES,Guitars>Electric solid body
INT-9E59C3,102093,Stratocaster,Guitars>Electric solid body
INT-736028,102094,Stratocaster,Guitars>Electric solid body
INT-B62854,102097,Telecaster,Guitars>Electric solid body
INT-A40065,102098,Jeff Becks personal prototype Overdrive,Effects>Overdrive
INT-9F325C,102099,G 37,Guitars>Flat top
INT-E113C2,102122,D Custom,Guitars>Flat top
INT-E177BE,102123,Black scorpion,Guitars>Electric solid body
INT-98A42B,102124,SJ 200,Guitars>Flat top
INT-6B7A47,102125,Stratocaster ex Eric Stewart Paul McCartney,Guitars>Electric solid body
INT-A4B406,102126,00042,Guitars>Flat top
INT-545161,102128,50w JCM800 Head,Amps>Heads
INT-02B499,102129,Salt and pepper basketweave 4x12 Cabinet,Amps>Cabinets
INT-A662CB,102130,JMI MKII 50W Head,Amps>Heads
INT-20EC9B,102132,Stratocaster,Guitars>Electric solid body
INT-026A3C,102269,Telecaster,Guitars>Electric solid body
INT-DC7E91,102271,Custom Shop Duane Allman 59 Reissue ,Guitars>Electric solid body
INT-1E982E,102275,Rose Morris 1995 (615),Guitars>Electric solid body
INT-477249,102277,Les Paul Deluxe,Guitars>Electric solid body
INT-1C5664,102933,Stratocaster,Guitars>Electric solid body
INT-644E3E,102937,Mary Kaye Stratocaster,Guitars>Electric solid body
INT-580A74,102945,Custom Shop 1960 Reissue Les Paul Standard FLAME TOP ,Guitars>Electric solid body
INT-1027ED,102951,Custom Shop 1960 Reissue Les Paul standard ,Guitars>Electric solid body
INT-632D62,102952,Custom Shop 59 Reissue les Paul Standard,Guitars>Electric solid body
INT-1817B6,102953,Custom Shop Historic 57 Reissue Les Paul,Guitars>Electric solid body
INT-69C8A4,103034,"4x12 Ex Guns and Roses, Richard Fortus",Amps>Cabinets
