var_id	product_id	SKU	GTIN	MPN	RRP	POA	SellPrice1	sellprice2	sellprice3	sellprice4	mblimit1	mblimit2	mblimit3	costprice	stockitem	stock	stocktext	weight	oos	shippingquote	cond	WAS	attributevals	vtitle	lowstock	varprimary	enquire
1972	1850	MD1862			0	0	6000	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	1962 Martin D-18	0	1	0
1973	1851	MD28ENG55			0	0	15000	0	0	0	0	0	0	0	1	0		0	1	0	new	0	NULL	1955 Martin D-28 Ex Noel Gallagher	0	1	0
1974	1852	GD2590			0	0	999	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	1990##apos##s Guild D25	0	1	0
1975	1853	GD25C90			0	0	999	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	1990##apos##s Guild D25 Cherry 	0	1	0
1976	1854	D25G80			0	0	999	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	Late 80##apos##s Guild D25	0	1	0
1977	1855	I684CHB78			0	0	699	0	0	0	0	0	0	0	1	1		0	1	0	new	0	NULL	1978 Ibanez 684 Concord Humming Bird	0	1	0
1978	1856	CESTE			0	0	529	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	Crafter ES-TE	0	1	0
1979	1857	TC035			0	0	499	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	Crafter TC-035	0	1	0
1980	1858	T6MH/BR			0	0	299	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	Crafter T6 MH/BR	0	1	0
1981	1859	SH-MAHOPLUS			0	0	799	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	Crafter SH-MAHO PLUS	0	1	0
1982	1860	ALMAHOPLUS			0	0	799	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	Crafter AL MAHO PLUS	0	1	0
1983	1861	GCV1CN			0	0	1399	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	Guild CV-1C Natural	0	1	0
1984	1862	SASB12			0	0	899	0	0	0	0	0	0	0	1	0		0	1	0	new	0	NULL	Seagull Artist Studio Burst 12 String	0	1	0
1985	1863	TNLE			0	0	1299	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	Takamine Ninja Limited Edition 	0	1	0
1986	1864	M325N			0	0	899	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	Maton M325 Natural Series 	0	1	0
1987	1865	70EKOD40			0	0	399	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	1970##apos##s EKO D40	0	1	0
1988	1866	GS570			0	0	599	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	Giannini GS-570	0	1	0
1989	1867	200100-17			0	0	1799	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	2001 Martin 00-17	0	1	0
1990	1868	JS32RFR			0	0	319	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	Jackson JS32 Rhoads in Ivory w/Floyd Rose Bridge	0	1	0
1991	1869	JS32TRSB			0	0	319	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	Jackson JS32T Rhoads in Satin Black	0	1	0
1993	1870	JS32NO			0	0	319	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	Jackson JS32 Dinky in Natural Oil	0	1	0
1994	1871	JS32TQ			0	0	319	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	Jackson JS32TQ Dinky Transparent Red	0	1	0
1995	1872	R1NE			0	0	1495	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	Ramirez 1NE	0	1	0
1996	1873	R3NP			0	0	1875	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	Ramirez 3NP	0	1	0
1997	1874	R104M			0	0	295	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	Raimundo 104 M	0	1	0
1998	1875	R140			0	0	985	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	Raimundo 140	0	1	0
1999	1876	EkoV			0	0	699	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	Eko Viola 	0	1	0
2000	1877	R128LH			0	0	640	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	Raimundo 128 L/H	0	1	0
2001	1878	630EL/H			0	0	0	0	0	0	0	0	0	925	1	1		0	0	0	new	0	NULL	Raimundo 630E L/H	0	1	0
2002	1879	RBN2			0	0	985	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	Raimundo Bossa Nova 2	0	1	0
2003	1880	R660E			0	0	0	0	0	0	0	0	0	1240	1	1		0	0	0	new	0	NULL	Raimundo 660E 	0	1	0
